month,issuer,agency_securities,non_agency_securities,mortgage_loans,retained_portfolio_end_balance
2025-07-01,FNMA,31365,114,56103,87582
2025-08-01,FNMA,36329,112,56863,93304
2025-09-01,FNMA,41598,110,57071,98779
2025-10-01,FNMA,54540,106,57197,111843
2025-11-01,FNMA,65187,105,58220,123512
2025-12-01,FNMA,71514,104,60843,132461
2026-01-01,FNMA,83038,103,58497,141638
2026-02-01,FNMA,87262,102,63029,150393
2026-03-01,FNMA,104924,101,63713,168738
2026-04-01,FNMA,110459,100,64284,174843
2026-05-01,FNMA,105092,99,66984,172175
2026-06-01,FNMA,104477,97,70474,175048
2026-07-01,FNMA,99744,95,73514,173353
2025-07-01,FHLMC,30021,852,75038,105911
2025-08-01,FHLMC,30630,885,82031,113546
2025-09-01,FHLMC,30907,889,84627,116423
2025-10-01,FHLMC,34365,888,86496,121750
2025-11-01,FHLMC,39369,921,83292,123582
2025-12-01,FHLMC,44577,923,93727,139227
2026-01-01,FHLMC,48547,917,87345,136809
2026-02-01,FHLMC,55585,886,82102,138572
2026-03-01,FHLMC,56285,900,82576,139761
2026-04-01,FHLMC,56180,894,84734,141808
2026-05-01,FHLMC,56297,887,80038,137222
2026-06-01,FHLMC,56227,883,81461,138571
2026-07-01,FHLMC,54678,877,84173,139728
